Region,Country,Year,Gender,SuicideCount
AMERICA,SAINT VINCENT AND THE GRENADINES,2002,Male,6
AMERICA,SAINT VINCENT AND THE GRENADINES,2002,Female,1
AMERICA,SAINT VINCENT AND THE GRENADINES,2003,Male,4
AMERICA,SAINT VINCENT AND THE GRENADINES,2003,Female,0
AMERICA,SAINT VINCENT AND THE GRENADINES,2004,Male,4
AMERICA,SAINT VINCENT AND THE GRENADINES,2004,Female,0
AMERICA,SAINT VINCENT AND THE GRENADINES,2005,Male,7
AMERICA,SAINT VINCENT AND THE GRENADINES,2005,Female,1
AMERICA,SAINT VINCENT AND THE GRENADINES,2006,Male,5
AMERICA,SAINT VINCENT AND THE GRENADINES,2006,Female,1
AMERICA,SAINT VINCENT AND THE GRENADINES,2007,Male,11
AMERICA,SAINT VINCENT AND THE GRENADINES,2007,Female,0
AMERICA,SAINT VINCENT AND THE GRENADINES,2008,Male,3
AMERICA,SAINT VINCENT AND THE GRENADINES,2008,Female,1
AMERICA,SAINT VINCENT AND THE GRENADINES,2009,Male,1
AMERICA,SAINT VINCENT AND THE GRENADINES,2009,Female,0
AMERICA,SAINT VINCENT AND THE GRENADINES,2010,Male,5
AMERICA,SAINT VINCENT AND THE GRENADINES,2010,Female,0
AMERICA,SAINT VINCENT AND THE GRENADINES,2011,Male,4
AMERICA,SAINT VINCENT AND THE GRENADINES,2011,Female,1
AMERICA,SAINT VINCENT AND THE GRENADINES,2012,Male,7
AMERICA,SAINT VINCENT AND THE GRENADINES,2012,Female,3
AMERICA,SAINT VINCENT AND THE GRENADINES,2013,Male,0
AMERICA,SAINT VINCENT AND THE GRENADINES,2013,Female,0
AMERICA,SAINT VINCENT AND THE GRENADINES,2014,Male,2
AMERICA,SAINT VINCENT AND THE GRENADINES,2014,Female,0
AMERICA,SAINT VINCENT AND THE GRENADINES,2015,Male,2
AMERICA,SAINT VINCENT AND THE GRENADINES,2015,Female,1
AMERICA,SAINT VINCENT AND THE GRENADINES,2016,Male,0
AMERICA,SAINT VINCENT AND THE GRENADINES,2016,Female,0
AMERICA,SAINT VINCENT AND THE GRENADINES,2017,Male,0
AMERICA,SAINT VINCENT AND THE GRENADINES,2017,Female,0
AMERICA,SAINT VINCENT AND THE GRENADINES,2018,Male,0
AMERICA,SAINT VINCENT AND THE GRENADINES,2018,Female,0
AMERICA,SAINT VINCENT AND THE GRENADINES,2019,Male,0
AMERICA,SAINT VINCENT AND THE GRENADINES,2019,Female,0
AMERICA,SAINT VINCENT AND THE GRENADINES,2020,Male,1
AMERICA,SAINT VINCENT AND THE GRENADINES,2020,Female,0
AMERICA,SAINT VINCENT AND THE GRENADINES,2021,Male,0
AMERICA,SAINT VINCENT AND THE GRENADINES,2021,Female,0
AMERICA,VENEZUELA (BOLIVARIAN REPUBLIC OF),1992,Male,814
AMERICA,VENEZUELA (BOLIVARIAN REPUBLIC OF),1992,Female,145
AMERICA,VENEZUELA (BOLIVARIAN REPUBLIC OF),1993,Male,822
AMERICA,VENEZUELA (BOLIVARIAN REPUBLIC OF),1993,Female,144
AMERICA,VENEZUELA (BOLIVARIAN REPUBLIC OF),1994,Male,890
AMERICA,VENEZUELA (BOLIVARIAN REPUBLIC OF),1994,Female,199
AMERICA,VENEZUELA (BOLIVARIAN REPUBLIC OF),1996,Male,849
AMERICA,VENEZUELA (BOLIVARIAN REPUBLIC OF),1996,Female,160
AMERICA,VENEZUELA (BOLIVARIAN REPUBLIC OF),1997,Male,887
AMERICA,VENEZUELA (BOLIVARIAN REPUBLIC OF),1997,Female,189
AMERICA,VENEZUELA (BOLIVARIAN REPUBLIC OF),1998,Male,950
AMERICA,VENEZUELA (BOLIVARIAN REPUBLIC OF),1998,Female,194
AMERICA,VENEZUELA (BOLIVARIAN REPUBLIC OF),1999,Male,1028
AMERICA,VENEZUELA (BOLIVARIAN REPUBLIC OF),1999,Female,218
AMERICA,VENEZUELA (BOLIVARIAN REPUBLIC OF),2000,Male,1078
AMERICA,VENEZUELA (BOLIVARIAN REPUBLIC OF),2000,Female,186
AMERICA,VENEZUELA (BOLIVARIAN REPUBLIC OF),2001,Male,1157
AMERICA,VENEZUELA (BOLIVARIAN REPUBLIC OF),2001,Female,224
AMERICA,VENEZUELA (BOLIVARIAN REPUBLIC OF),2002,Male,1076
AMERICA,VENEZUELA (BOLIVARIAN REPUBLIC OF),2002,Female,224
AMERICA,VENEZUELA (BOLIVARIAN REPUBLIC OF),2003,Male,933
AMERICA,VENEZUELA (BOLIVARIAN REPUBLIC OF),2003,Female,217
AMERICA,VENEZUELA (BOLIVARIAN REPUBLIC OF),2004,Male,836
AMERICA,VENEZUELA (BOLIVARIAN REPUBLIC OF),2004,Female,202
AMERICA,VENEZUELA (BOLIVARIAN REPUBLIC OF),2005,Male,826
AMERICA,VENEZUELA (BOLIVARIAN REPUBLIC OF),2005,Female,190
AMERICA,VENEZUELA (BOLIVARIAN REPUBLIC OF),2006,Male,782
AMERICA,VENEZUELA (BOLIVARIAN REPUBLIC OF),2006,Female,163
AMERICA,VENEZUELA (BOLIVARIAN REPUBLIC OF),2007,Male,731
AMERICA,VENEZUELA (BOLIVARIAN REPUBLIC OF),2007,Female,166
AMERICA,VENEZUELA (BOLIVARIAN REPUBLIC OF),2008,Male,707
AMERICA,VENEZUELA (BOLIVARIAN REPUBLIC OF),2008,Female,163
AMERICA,VENEZUELA (BOLIVARIAN REPUBLIC OF),2009,Male,604
AMERICA,VENEZUELA (BOLIVARIAN REPUBLIC OF),2009,Female,147
AMERICA,VENEZUELA (BOLIVARIAN REPUBLIC OF),2010,Male,628
AMERICA,VENEZUELA (BOLIVARIAN REPUBLIC OF),2010,Female,147
AMERICA,VENEZUELA (BOLIVARIAN REPUBLIC OF),2011,Male,644
AMERICA,VENEZUELA (BOLIVARIAN REPUBLIC OF),2011,Female,120
AMERICA,VENEZUELA (BOLIVARIAN REPUBLIC OF),2012,Male,602
AMERICA,VENEZUELA (BOLIVARIAN REPUBLIC OF),2012,Female,129
AMERICA,VENEZUELA (BOLIVARIAN REPUBLIC OF),2013,Male,501
AMERICA,VENEZUELA (BOLIVARIAN REPUBLIC OF),2013,Female,117
AMERICA,VENEZUELA (BOLIVARIAN REPUBLIC OF),2014,Male,472
AMERICA,VENEZUELA (BOLIVARIAN REPUBLIC OF),2014,Female,97
AMERICA,VENEZUELA (BOLIVARIAN REPUBLIC OF),2015,Male,465
AMERICA,VENEZUELA (BOLIVARIAN REPUBLIC OF),2015,Female,110
AMERICA,VENEZUELA (BOLIVARIAN REPUBLIC OF),2016,Male,662
AMERICA,VENEZUELA (BOLIVARIAN REPUBLIC OF),2016,Female,181
AFRICA,SOUTH AFRICA,1996,Male,114
AFRICA,SOUTH AFRICA,1996,Female,30
AFRICA,SOUTH AFRICA,1997,Male,82
AFRICA,SOUTH AFRICA,1997,Female,22
AFRICA,SOUTH AFRICA,1998,Male,141
AFRICA,SOUTH AFRICA,1998,Female,43
AFRICA,SOUTH AFRICA,1999,Male,220
AFRICA,SOUTH AFRICA,1999,Female,61
AFRICA,SOUTH AFRICA,1999,Unknown,3
AFRICA,SOUTH AFRICA,2000,Male,209
AFRICA,SOUTH AFRICA,2000,Female,58
AFRICA,SOUTH AFRICA,2001,Male,313
AFRICA,SOUTH AFRICA,2001,Female,72
AFRICA,SOUTH AFRICA,2002,Male,190
AFRICA,SOUTH AFRICA,2002,Female,47
AFRICA,SOUTH AFRICA,2003,Male,194
AFRICA,SOUTH AFRICA,2003,Female,64
AFRICA,SOUTH AFRICA,2003,Unknown,1
AFRICA,SOUTH AFRICA,2004,Male,298
AFRICA,SOUTH AFRICA,2004,Female,89
AFRICA,SOUTH AFRICA,2004,Unknown,2
AFRICA,SOUTH AFRICA,2005,Male,360
AFRICA,SOUTH AFRICA,2005,Female,101
AFRICA,SOUTH AFRICA,2005,Unknown,2
AFRICA,SOUTH AFRICA,2006,Male,417
AFRICA,SOUTH AFRICA,2006,Female,97
AFRICA,SOUTH AFRICA,2006,Unknown,1
AFRICA,SOUTH AFRICA,2007,Male,316
AFRICA,SOUTH AFRICA,2007,Female,104
AFRICA,SOUTH AFRICA,2007,Unknown,1
AFRICA,SOUTH AFRICA,2008,Male,346
AFRICA,SOUTH AFRICA,2008,Female,96
AFRICA,SOUTH AFRICA,2009,Male,280
AFRICA,SOUTH AFRICA,2009,Female,92
AFRICA,SOUTH AFRICA,2010,Male,300
AFRICA,SOUTH AFRICA,2010,Female,94
AFRICA,SOUTH AFRICA,2011,Male,284
AFRICA,SOUTH AFRICA,2011,Female,75
AFRICA,SOUTH AFRICA,2012,Male,376
AFRICA,SOUTH AFRICA,2012,Female,115
AFRICA,SOUTH AFRICA,2012,Unknown,1
AFRICA,SOUTH AFRICA,2013,Male,470
AFRICA,SOUTH AFRICA,2013,Female,120
AFRICA,SOUTH AFRICA,2013,Unknown,2
AFRICA,SOUTH AFRICA,2014,Male,461
AFRICA,SOUTH AFRICA,2014,Female,121
AFRICA,SOUTH AFRICA,2014,Unknown,2
AFRICA,SOUTH AFRICA,2015,Male,377
AFRICA,SOUTH AFRICA,2015,Female,105
AFRICA,SOUTH AFRICA,2015,Unknown,1
AFRICA,SOUTH AFRICA,2016,Male,353
AFRICA,SOUTH AFRICA,2016,Female,78
AFRICA,SOUTH AFRICA,2016,Unknown,1
AFRICA,SOUTH AFRICA,2017,Male,281
AFRICA,SOUTH AFRICA,2017,Female,95
AFRICA,SOUTH AFRICA,2018,Male,232
AFRICA,SOUTH AFRICA,2018,Female,82
AMERICA,ANTIGUA AND BARBUDA,1999,Male,0
AMERICA,ANTIGUA AND BARBUDA,1999,Female,0
AMERICA,ANTIGUA AND BARBUDA,2000,Male,2
AMERICA,ANTIGUA AND BARBUDA,2000,Female,0
AMERICA,ANTIGUA AND BARBUDA,2001,Male,2
AMERICA,ANTIGUA AND BARBUDA,2001,Female,0
AMERICA,ANTIGUA AND BARBUDA,2002,Male,0
AMERICA,ANTIGUA AND BARBUDA,2002,Female,0
AMERICA,ANTIGUA AND BARBUDA,2003,Male,1
AMERICA,ANTIGUA AND BARBUDA,2003,Female,0
AMERICA,ANTIGUA AND BARBUDA,2004,Male,2
AMERICA,ANTIGUA AND BARBUDA,2004,Female,0
AMERICA,ANTIGUA AND BARBUDA,2005,Male,0
AMERICA,ANTIGUA AND BARBUDA,2005,Female,0
AMERICA,ANTIGUA AND BARBUDA,2006,Male,0
AMERICA,ANTIGUA AND BARBUDA,2006,Female,0
AMERICA,ANTIGUA AND BARBUDA,2007,Male,1
AMERICA,ANTIGUA AND BARBUDA,2007,Female,0
AMERICA,ANTIGUA AND BARBUDA,2008,Male,0
AMERICA,ANTIGUA AND BARBUDA,2008,Female,0
AMERICA,ANTIGUA AND BARBUDA,2009,Male,0
AMERICA,ANTIGUA AND BARBUDA,2009,Female,0
AMERICA,ANTIGUA AND BARBUDA,2012,Male,0
AMERICA,ANTIGUA AND BARBUDA,2012,Female,0
AMERICA,ANTIGUA AND BARBUDA,2013,Male,0
AMERICA,ANTIGUA AND BARBUDA,2013,Female,0
AMERICA,ANTIGUA AND BARBUDA,2014,Male,0
AMERICA,ANTIGUA AND BARBUDA,2014,Female,0
AMERICA,ANTIGUA AND BARBUDA,2010,Male,0
AMERICA,ANTIGUA AND BARBUDA,2010,Female,0
AMERICA,ANTIGUA AND BARBUDA,2011,Male,0
AMERICA,ANTIGUA AND BARBUDA,2011,Female,0
AMERICA,ANTIGUA AND BARBUDA,2015,Male,0
AMERICA,ANTIGUA AND BARBUDA,2015,Female,1
AMERICA,ANTIGUA AND BARBUDA,2016,Male,0
AMERICA,ANTIGUA AND BARBUDA,2016,Female,0
AMERICA,ANTIGUA AND BARBUDA,2017,Male,0
AMERICA,ANTIGUA AND BARBUDA,2017,Female,0
AMERICA,ANTIGUA AND BARBUDA,2018,Male,0
AMERICA,ANTIGUA AND BARBUDA,2018,Female,0
AMERICA,ANTIGUA AND BARBUDA,2019,Male,0
AMERICA,ANTIGUA AND BARBUDA,2019,Female,0
AMERICA,ANTIGUA AND BARBUDA,2020,Male,0
AMERICA,ANTIGUA AND BARBUDA,2020,Female,0
AMERICA,ANTIGUA AND BARBUDA,2021,Male,2
AMERICA,ANTIGUA AND BARBUDA,2021,Female,0
AMERICA,DOMINICA,1991,Male,0
AMERICA,DOMINICA,1991,Female,0
AMERICA,DOMINICA,1992,Male,0
